鈴木大介八段 vs
 01:35 叡王戦どうでした？
 01:37 おっと！
 01:43 あれれ？？
 01:44 ざわ・・・
 01:45 くるぞ　くるぞ～～
 01:45 予選？おっと
 01:47 大介がんばれー
 01:48 ざわ・・
 01:50 ざわ・・・ざわ・・・
 01:50 なかなかすごい
 01:53 大ちゃん
 01:53 すげーじゃん
 01:53 ざわざわ
 01:54 すげえw
 01:55 ざわざわ・・・
 01:56 ざわ・・・
 01:57 ざわ・・・ざわ・・・
 01:57 まさか
 01:57 ざわ・・・ざわ・・・
 01:59 広瀬さん・・・
 01:59 ざわ・・・
 02:00 ハッシー
 02:00 合性が悪かったらしいが
 02:02 ざわ・・・ざわ・・・
 02:03 ざわちん
 02:04 まさか・・・
 02:05 ざわざわ・・・すんな
 02:05 ざわ・・・
 02:06 馬さか
 02:08 ざわざわ・・・
 02:08 不穏な
 02:09 村山飯島戦解説お願いします
 02:09 広瀬さんも勝ってほしかったですが・・・
 02:09 ざわ・・・ざわ・・・
 02:10 これがやりたかった
 02:11 自戦記解説かな？
 02:11 ざわ・・・
 02:14 ざわざわ・・・
 02:15 ざわわ・・・
 02:15 ざわ
 02:16 露骨な待機
 02:16 出してはいけないぞ運営
 02:16 ざわ・・・ざわ・・・
 02:16 大ちゃん快勝やったな
 02:21 ざわざわざ
 02:21 ざわ・・・
 02:21 ざわ・・・
 02:21 ざわ・・・　ざわ・・・
 02:25 あっ
 02:25 久保党かんき
 02:26 党員歓喜
 02:26 運営謀ったな
 02:26 あっ・・・
 02:27 あっ
 02:28 あ
 02:28 あっあっあっ
 02:28 あっ
 02:28 あれれ？？？
 02:29 出しちゃった
 02:29 叡王戦どうでした？
 02:29 あ
 02:29 あっ
 02:30 ざわ・・・
 02:30 あ・・・
 02:30 あっ・・・
 02:31 あっ・・・
 02:31 あっ・・・
 02:31 あっ
 02:31 あっ・・・
 02:32 あっ
 02:32 あ・・・
 02:33 あ
 02:33 あっ
 02:33 あっ
 02:33 ｗｗｗｗｗ
 02:33 あっ
 02:33 あ・・・
 02:33 飯島・・・
 02:33 きたっ
 02:34 あーｗｗ
 02:34 wwwwww
 02:34 ああっ
 02:34 あっ
 02:34 あっ
 02:34 あ
 02:35 w
 02:35 あれあれ
 02:35 ふいｔｑｗｗｗｗｗｗｗｗｗｗｗ
 02:35 笑うｗｗｗ
 02:35 ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
 02:36 あっ・・・
 02:36 笑うなよｗｗ
 02:36 あっ
 02:36 あれって、2回戦！！！！！
 02:36 ｗｗｗｗｗｗｗｗｗｗｗｗ
 02:36 あっ
 02:36 吹くなｗｗ
 02:37 笑うなよw
 02:37 ｗｗｗ
 02:37 ｗｗｗ
 02:37 2回戦で？？？
 02:37 笑うなｗ
 02:38 あっ
 02:38 あ
 02:38 あっ・・・
 02:38 なにわろとんねんｗｗｗｗ
 02:39 お
 02:39 2回戦で飯島って人に勝ってるな
 02:39 あ
 02:39 oh
 02:40 あっ
 02:40 覚えてたｗ
 02:40 あ
 02:40 あっ
 02:40 あ
 02:41 ｗｗｗｗｗｗ
 02:41 わろうてる
 02:41 記憶にないなぁ？
 02:41 なお記憶はない模様
 02:41 笑うなよｗ
 02:41 笑うなｗ
 02:42 おかしいじゃん
 02:43 あっつ
 02:43 あっ・・・
 02:43 貞升さーーーんｗｗ
 02:43 あ（察し
 02:43 覚えててよかった
 02:43 さだますっｗ
 02:43 あ
 02:43 2回戦で　ハハハハ
 02:44 記憶にございません
 02:44 nn?
 02:44 笑うなよｗｗ
 02:45 わらちゃうよねｗ
 02:45 あ・・・
 02:45 笑うなよ
 02:45 ということでｗ
 02:46 みなみちゃんわろたらあかんｗｗｗｗｗ
 02:46 運営
 02:46 ｗｗｗｗｗｗｗ
 02:46 ｗ
 02:47 なお記憶には
 02:48 わらうしｗｗｗｗ
 02:48 あっ・・・（察し
 02:48 飯塚の間違いだろ
 02:49 ｗｗｗｗ
 02:49 飯・・・島・・・？
 02:50 ｗｗｗｗｗｗｗ
 02:50 あ
 02:50 あ・・・
 02:51 謝ります
 02:52 あ・・・
 02:52 いわなくていいですｗｗｗｗｗｗ
 02:53 あ
 02:53 忘れ去られた二回戦
 02:54 あ
 02:54 対局しましたっけ？
 02:55 ああｗ
 02:55 誰も覚えていません。大変です
 02:56 ｗｗｗｗｗｗ
 02:56 ｗｗ
 02:56 飯島先生でてたんですか？！
 02:56 ｗｗｗ
 02:57 詳細解説希望
 02:57 (´Д⊂
 02:57 ｗｗｗｗｗｗｗｗ
 02:57 これは謝罪ですわ
 02:57 透明人間との対局のようだったと
 02:57 三浦さんがね・・・
 02:58 かみしめろ
 02:58 そこ古傷ｗｗｗ
 02:58 一言　お願いします
 02:59 あ
 02:59 また説明させられてるｗ
 02:59 言うしかないｗｗｗ
 02:59 ～
 03:02 叡王戦どうでした？
 03:02 ではその対局を
 03:02 村山「思い出せない」
 03:03 三浦の性
 03:04 みうみう出てこいよー
 03:04 恒例の・・・
 03:05 絶許
 03:06 飯島さんはどうでしたか
 03:06 忘れられた一局
 03:06 飯島先生Twitterでネタする気満々だったじゃないですかｗ
 03:07 対局なんかしてないよね
 03:08 南ちゃんｗｗｗｗｗｗ
 03:08 なお2回戦は
 03:09 ジメイ「覚えてません」
 03:12 いい将棋だった
 03:13 対戦後の逸話も聞いております
 03:14 実力者です
 03:16 実力者
 03:16 通過点だった・・・
 03:16 一番良い対局だったらしい2回戦
 03:17 村山に記憶にない将棋
 03:17 みうみうのせい
 03:17 お
 03:19 抑えた口調だ
 03:20 二回戦・・覚えてません
 03:20 ｗｗｗｗ
 03:21 むしかえさなくていいですｗｗｗｗｗ
 03:21 三浦ァ！(`；ω；´)
 03:22 運営の計画通り
 03:22 ｗｗ
 03:22 弟弟子に・・・
 03:24 いい将棋だったんですが、記憶に残らなかったようで・・・
 03:25 みうみうのせい
 03:25 ｗｗｗ
 03:28 ｗｗ
 03:29 昔のことだもん
 03:31 いい将棋だったと、ジメイも言ってたよ
 03:32 ある意味残念・・・
 03:33 これは自戦解説フラグ・・・？
 03:34 対抗系
 03:35 笑うしかないｗｗｗ
 03:35 ジメイの記憶に残らなかったｗ
 03:36 3
 03:38 南ちゃん笑ったらいけんでw
 03:38 振るかなー
 03:44 あとで棋譜みてみっか
 03:46 かわいい
 03:46 今日はどこに振るか
 03:53 フラグ
 03:54 そーなんだ
 03:59 楽しみ
 04:06 QK
 04:08 ざわ
 04:08 振り駒注目ですね
 04:08 まさか・・・
 04:09 よーし勉強するぞー
 04:09 ざわ
 04:10 隙あらば宣伝
 04:10 それでは
 04:11 来たっ
 04:11 そりゃぁもうねぇ
 04:12 あ・・・
 04:12 もちろんｗ
 04:12 ざわ
 04:12 ざわ・・・
 04:12 あーーー
 04:13 まさか・・・
 04:13 当然
 04:14 ざわざわ
 04:14 ｗｗ
 04:15 自戦解説じよう（提案）
 04:15 そりゃ　もちろん！！！！
 04:15 まさかの？
 04:15 ざわ・・・
 04:15 きたーーーーーーー
 04:15 自分の
 04:15 aｗ
 04:15 まあ、フラグだよねー
 04:15 それはもう
 04:15 あっ・・・
 04:16 ざわざわ・・・
 04:16 もちろん・・
 04:17 期待
 04:17 ざわ・・・
 04:18 ざわ・・・
 04:18 あっ・・・
 04:19 あ
 04:20 あれですか
 04:21 まぼろしの対局
 04:22 やめてあげてよ・・・・
 04:23 ｗｗｗｗｗｗｗｗｗｗｗｗ
 04:24 自虐解説
 04:24 まさか・・・
 04:24 思い出しましょう
 04:24 ｗｗｗｗｗｗｗｗｗｗ
 04:24 ｗｗｗｗ
 04:24 あっ
 04:25 ｗｗｗｗｗｗ
 04:27 自虐ｗｗｗ
 04:27 ざわ・・・
 04:27 まーた自虐解説かｗ
 04:27 じ・め・い
 04:27 もう解説済み
 04:28 自ら
 04:28 やったぜ
 04:29 自虐・・・
 04:30 しょうがないｗｗ
 04:30 幻の対局
 04:30 つはんかち
 04:31 鬼かよ
 04:32 しょうがないｗ
 04:33 ｗｗｗｗｗｗｗｗｗｗｗｗ
 04:34 先生がおっしゃるなら・・・・・・
 04:34 フラグたてんなｗ
 04:34 いやああ
 04:34 なおジメイは覚えていません
 04:36 覚えてないな～
 04:36 自虐解説お願いします
 04:36 おとこであった
 04:36 (
 04:37 いいぞ
 04:38 焼きつけましょう
 04:38 だが村山は覚えてないｗ
 04:38 罰ゲーム
 04:39 まさかの自戦解説ｗｗｗ
 04:39 みんなの期待に答える、飯島先生！！
 04:40 うぁぁぁぁぁ
 04:41 期待を裏切らない
 04:41 ｗｗｗｗｗｗ
 04:42 自戦解説キターーーーー
 04:42 普通は覚えてますよねー
 04:42 死体ストンピング
 04:42 自分で言ったｗ
 04:43 ｗ
 04:43 きたｗ
 04:44 えっ、あったんだ
 04:45 男前ですわ～
 04:45 ありがとうございますｗ
 04:46 うはw
 04:47 これぞ男Aじ
 04:48 あ、ジュースも忘れないでね
 04:48 かじゅきの時といいｗｗ
 04:48 おねがいしまーす
 04:49 とても興味があります
 04:50 傷がうずくｗｗｗｗ
 04:51 盛り上がるー
 04:51 放映されてないからね
 04:52 漢だな、惚れた
 04:54 /vote
 04:54 村山は覚えてなくても、俺たちが覚えておいてやろう
 04:54 傷口に塩を塗る行為だ！
 04:55 ジメイが全く覚えてない棋譜か
 04:57 罰ゲームちゃうねんぞw
 04:58 +6
